time,0_x,0_y,0_z,1_x,1_y,1_z
84,2.000000,0.083332,0.000000,0.000000,-56.000000,0.000000
85,2.000000,-0.152780,0.000000,0.000000,-56.000000,0.000000
86,2.000000,-0.391669,0.000000,0.000000,-56.000000,0.000000
87,2.000000,-0.633335,0.000000,0.000000,-56.000000,0.000000
88,2.000000,-0.877780,0.000000,0.000000,-56.000000,0.000000
89,2.000000,-1.125002,0.000000,0.000000,-56.000000,0.000000
90,2.000000,-1.375003,0.000000,0.000000,-56.000000,0.000000
91,2.000000,-1.627781,0.000000,0.000000,-56.000000,0.000000
92,2.000000,-1.883336,0.000000,0.000000,-56.000000,0.000000
93,2.000000,-2.141670,0.000000,0.000000,-56.000000,0.000000
94,2.000000,-2.402781,0.000000,0.000000,-56.000000,0.000000
95,2.000000,-2.666670,0.000000,0.000000,-56.000000,0.000000
96,2.000000,-2.933337,0.000000,0.000000,-56.000000,0.000000
97,2.000000,-3.202782,0.000000,0.000000,-56.000000,0.000000
98,2.000000,-3.475004,0.000000,0.000000,-56.000000,0.000000
99,2.000000,-3.750005,0.000000,0.000000,-56.000000,0.000000
100,2.000000,-4.027782,0.000000,0.000000,-56.000000,0.000000
101,2.000000,-4.308338,0.000000,0.000000,-56.000000,0.000000
102,2.000000,-4.591671,0.000000,0.000000,-56.000000,0.000000
103,2.000000,-4.877783,0.000000,0.000000,-56.000000,0.000000
104,2.000000,-5.133337,0.000000,0.000000,-56.000000,0.000000
105,2.000003,-4.899337,0.000004,0.000000,-56.000000,0.000000
106,2.000006,-4.668115,0.000007,0.000000,-56.000000,0.000000
107,2.000009,-4.439671,0.000011,0.000000,-56.000000,0.000000
108,2.000012,-4.214004,0.000015,0.000000,-56.000000,0.000000
109,2.000015,-3.991115,0.000018,0.000000,-56.000000,0.000000
110,2.000017,-3.771004,0.000022,0.000000,-56.000000,0.000000
111,2.000020,-3.553671,0.000025,0.000000,-56.000000,0.000000
112,2.000023,-3.339115,0.000029,0.000000,-56.000000,0.000000
113,2.000026,-3.127337,0.000033,0.000000,-56.000000,0.000000
114,2.000029,-2.918337,0.000036,0.000000,-56.000000,0.000000
115,2.000032,-2.712115,0.000040,0.000000,-56.000000,0.000000
116,2.000035,-2.508671,0.000043,0.000000,-56.000000,0.000000
117,2.000037,-2.308004,0.000047,0.000000,-56.000000,0.000000
118,2.000040,-2.110115,0.000050,0.000000,-56.000000,0.000000
119,2.000043,-1.915004,0.000054,0.000000,-56.000000,0.000000
